100118	50345
1	8	14904
0	2	-2
1	772	-2
4	6	14902
3	5	-2
4	770	-2
3	7	771
6	10	14913
0	9	773
8	342	14911
7	11	797
10	12	14925
11	13	799
12	14	14933
13	15	801
14	16	14943
15	17	803
16	18	14947
17	19	805
18	20	14959
19	21	807
20	22	14963
21	23	809
22	24	14971
23	25	811
24	26	14983
25	27	813
26	28	14987
27	29	815
28	30	14991
29	31	817
30	32	14995
31	33	819
32	34	14999
33	35	821
34	36	15003
35	37	823
36	38	15007
37	39	825
38	40	15015
39	41	827
40	42	15023
41	43	829
42	44	15027
43	45	831
44	46	15031
45	47	833
46	48	15035
47	49	835
48	50	15039
49	51	837
50	52	15043
51	53	839
52	54	15047
53	55	841
54	56	15051
55	57	843
56	58	15059
57	59	845
58	60	15067
59	61	847
60	62	15071
61	63	849
62	64	15075
63	65	851
64	66	15079
65	67	853
66	68	15083
67	69	855
68	70	15087
69	71	857
70	72	15095
71	73	859
72	74	15103
73	75	861
74	76	15099
75	77	863
76	78	15063
77	79	865
78	80	15019
79	81	867
80	82	14979
81	83	869
82	84	14955
83	85	871
84	86	14939
85	87	873
86	88	14919
87	89	875
88	90	14906
89	91	877
90	92	18904
91	93	879
92	94	18923
93	95	881
94	96	18959
95	97	883
96	98	19077
97	99	885
98	100	19087
99	101	887
100	102	19095
101	103	889
102	104	19103
103	105	891
104	106	19111
105	107	893
106	108	19237
107	109	895
108	110	19235
109	111	897
110	112	19233
111	113	899
112	114	19231
113	115	901
114	116	19229
115	117	903
116	118	19227
117	119	905
118	120	19225
119	121	907
120	122	19223
121	123	909
122	124	19221
123	125	911
124	126	19219
125	127	913
126	128	19217
127	129	915
128	130	19215
129	131	917
130	132	19213
131	133	919
132	134	19211
133	135	921
134	136	19209
135	137	923
136	138	19207
137	139	925
138	140	19205
139	141	927
140	142	19203
141	143	929
142	144	19201
143	145	931
144	146	19199
145	147	933
146	148	19197
147	149	935
148	150	19195
149	151	937
150	152	19193
151	153	939
152	154	19191
153	155	941
154	156	19189
155	157	943
156	158	19187
157	159	945
158	160	19185
159	161	947
160	162	19183
161	163	949
162	164	19181
163	165	951
164	166	19179
165	167	953
166	168	19177
167	169	955
168	170	19175
169	171	957
170	172	19173
171	173	959
172	174	19171
173	175	961
174	176	19169
175	177	963
176	178	19167
177	179	965
178	180	19165
179	181	967
180	182	19163
181	183	969
182	184	19161
183	185	971
184	186	19159
185	187	973
186	188	19157
187	189	975
188	190	19155
189	191	977
190	192	19153
191	193	979
192	194	19151
193	195	981
194	196	19149
195	197	983
196	198	19147
197	199	985
198	200	19145
199	201	987
200	202	19143
201	203	989
202	204	19141
203	205	991
204	206	19139
205	207	993
206	208	19137
207	209	995
208	210	19135
209	211	997
210	212	19133
211	213	999
212	214	19131
213	215	1001
214	216	19129
215	217	1003
216	218	19127
217	219	1005
218	220	19125
219	221	1007
220	222	19123
221	223	1009
222	224	19121
223	225	1011
